 fileName,dmsImageId,storeNumber,orderNumber,poNumber,scanStatus,vehicleIdentificationNumber,originFileCreationTS, originFileRequestTS
Automation_Tiff_APServiceCorpJacket_0001,2040001,9985,20420001,3425600,2,19UDE2F31JA007214,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0002,2040002,9985,20420002,3425601,2,19UDE2F32LA010044,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0003,2040003,9985,20420003,3425602,2,19UDE2F35JA005689,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0004,2040004,9985,20420004,3425603,2,19UDE2F37KA007381,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0005,2040005,9985,20420005,3425604,2,19UDE2F39JA004254,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0006,2040006,9985,20420006,3425605,2,19UDE2F3XJA002285,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0007,2040007,9985,20420007,3425606,2,19UDE2F46JA001109,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0008,2040008,9985,20420008,3425607,2,19UDE2F70KA005863,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0009,2040009,9985,20420009,3425608,2,19UDE2F72HA012337,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0010,2040010,9985,20420010,3425609,2,19UDE2F72JA005698,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0011,2040011,9985,20420011,3425610,2,19UDE2F73KA005940,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0012,2040012,9985,20420012,3425611,2,19UDE2F73NA004453,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0013,2040013,9985,20420013,3425612,2,19UDE2F75KA010122,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0014,2040014,9985,20420014,3425613,2,19UDE2F76LA001124,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0015,2040015,9985,20420015,3425614,2,19UDE2F77HA005397,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0016,2040016,9985,20420016,3425615,2,19UDE2F78GA012907,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0017,2040017,9985,20420017,3425616,2,19UDE2F78HA004713,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0018,2040018,9985,20420018,3425617,2,19UDE2F79GA013225,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0019,2040019,9985,20420019,3425618,2,19UDE2F79GA013225,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0020,2040020,9985,20420020,3425619,2,19UDE2F79LA001103,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0021,2040021,9985,20420021,3425620,2,19UDE2F7XGA001150,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0022,2040022,9985,20420022,3425621,2,19UDE2F7XKA005739,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0023,2040023,9985,20420023,3425622,2,19UDE2F80KA001725,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0024,2040024,9985,20420024,3425623,2,19UDE2F81GA019609,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0025,2040025,9985,20420025,3425624,2,19UDE2F86GA001266,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0026,2040026,9985,20420026,3425625,2,19UDE2F86GA015880,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0027,2040027,9985,20420027,3425626,2,19UDE2F86MA000985,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0028,2040028,9985,20420028,3425627,2,19UDE2F88GA012818,2022-11-01,2022-11-02
Automation_Tiff_APServiceCorpJacket_0029,2040029,9985,20420029,3425628,2,19UUA5641XA052572,2022-11-01,2022-11-02
