 fileName,dmsImageId,storeNumber,orderNumber,poNumber,scanStatus,vehicleIdentificationNumber,originFileCreationTS, originFileRequestTS
Automation_Tiff_APServiceJacket_0001,2030001,9985,20320001,2034150,2,1J4GL48K24W105400,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0002,2030002,9985,20320002,2034151,2,1J4GL48K24W152037,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0003,2030003,9985,20320003,2034152,2,1J4GL48K24W198953,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0004,2030004,9985,20320004,2034153,2,1J4GL48K24W198953,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0005,2030005,9985,20320005,2034154,2,1J4GL48K26W226799,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0006,2030006,9985,20320006,2034155,2,1J4GL48K34W178825,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0007,2030007,9985,20320007,2034156,2,1J4GL48K36W176219,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0008,2030008,9985,20320008,2034157,2,1J4GL48K37W540320,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0009,2030009,9985,20320009,2034158,2,1J4GL48K37W540320,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0010,2030010,9985,20320010,2034159,2,1J4GL48K37W542326,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0011,2030011,9985,20320011,2034160,2,1J4GL48K37W542326,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0012,2030012,9985,20320012,2034161,2,1J4GL48K37W664118,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0013,2030013,9985,20320013,2034162,2,1J4GL48K37W686815,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0014,2030014,9985,20320014,2034163,2,1J4GL48K37W686815,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0015,2030015,9985,20320015,2034164,2,1J4GL48K43W696585,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0016,2030016,9985,20320016,2034165,2,1J4GL48K43W698255,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0017,2030017,9985,20320017,2034166,2,1J4GL48K45W624207,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0018,2030018,9985,20320018,2034167,2,1J4GL48K45W624207,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0019,2030019,9985,20320019,2034168,2,1J4GL48K46W119169,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0020,2030020,9985,20320020,2034169,2,1J4GL48K46W257701,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0021,2030021,9985,20320021,2034170,2,1J4GL48K46W259416,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0022,2030022,9985,20320022,2034171,2,1J4GL48K47W571110,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0023,2030023,9985,20320023,2034172,2,1J4GL48K47W712340,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0024,2030024,9985,20320024,2034173,2,1J4GL48K54W132400,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0025,2030025,9985,20320025,2034174,2,1J4GL48K54W171505,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0026,2030026,9985,20320026,2034175,2,1J4GL48K54W171505,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0027,2030027,9985,20320027,2034176,2,1J4GL48K62W270427,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0028,2030028,9985,20320028,2034177,2,1J4GL48K63W697186,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0029,2030029,9985,20320029,2034178,2,1J4GL48K64W184330,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0030,2030030,9985,20320030,2034179,2,1J4GL48K64W293435,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0031,2030031,9985,20320031,2034180,2,1J4GL48K65W553222,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0032,2030032,9985,20320032,2034181,2,1J4GL48K66W141920,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0033,2030033,9985,20320033,2034182,2,1J4GL48K66W229723,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0034,2030034,9985,20320034,2034183,2,1J4GL48K67W501351,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0035,2030035,9985,20320035,2034184,2,1J4GL48K67W682967,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0036,2030036,9985,20320036,2034185,2,1J4GL48K72W207692,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0037,2030037,9985,20320037,2034186,2,1J4GL48K73W723200,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0038,2030038,9985,20320038,2034187,2,1J4GL48K74W249928,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0039,2030039,9985,20320039,2034188,2,1J4GL48K75W544240,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0040,2030040,9985,20320040,2034189,2,1J4GL48K76W163960,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0041,2030041,9985,20320041,2034190,2,1J4GL48K76W262097,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0042,2030042,9985,20320042,2034191,2,1J4GL48K77W523472,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0043,2030043,9985,20320043,2034192,2,1J4GL48K83W556653,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0044,2030044,9985,20320044,2034193,2,1J4GL48K83W671351,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0045,2030045,9985,20320045,2034194,2,1J4GL48K84W202391,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0046,2030046,9985,20320046,2034195,2,1J4GL48K84W288902,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0047,2030047,9985,20320047,2034196,2,1J4GL48K84W288902,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0048,2030048,9985,20320048,2034197,2,1J4GL48K85W593561,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0049,2030049,9985,20320049,2034198,2,1J4GL48K86W285419,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0050,2030050,9985,20320050,2034199,2,1J4GL48K87W519625,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0051,2030051,9985,20320051,2034200,2,1J4GL48K87W662610,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0052,2030052,9985,20320052,2034201,2,1J4GL48K93W535472,2022-11-01,2022-11-02
Automation_Tiff_APServiceJacket_0053,2030053,9985,20320053,2034202,2,1J4GL48K94W171457,2022-11-01,2022-11-02
