 fileName,dmsImageId,storeNumber,orderNumber,stockNumber,scanStatus,vehicleIdentificationNumber,originFileCreationTS, originFileRequestTS
Automation_Tiff_ServiceJacket_0001,2022001,9985,20220001,239000,2,19UDE2F73GA018095,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0002,2022002,9985,20220002,239001,2,19UDE2F78GA004001,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0003,2022003,9985,20220003,239002,2,19UDE2F85NA002602,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0004,2022004,9985,20220004,239003,2,19UUA5643XA044103,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0005,2022005,9985,20220005,239004,2,19UUA5662YA055029,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0006,2022006,9985,20220006,239005,2,19UUA56803A061048,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0007,2022007,9985,20220007,239006,2,19UUA56943A053365,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0008,2022008,9985,20220008,239007,2,19UUA66204A043247,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0009,2022009,9985,20220009,239008,2,19UUA66204A055303,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0010,2022010,9985,20220010,239009,2,19UUA66204A057925,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0011,2022011,9985,20220011,239010,2,19UUA66214A047811,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0012,2022012,9985,20220012,239011,2,19UUA66234A009657,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0013,2022013,9985,20220013,239012,2,19UUA66234A044103,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0014,2022014,9985,20220014,239013,2,19UUA66235A019543,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0015,2022015,9985,20220015,239014,2,19UUA66235A032809,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0016,2022016,9985,20220016,239015,2,19UUA66245A035752,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0017,2022017,9985,20220017,239016,2,19UUA66248A041555,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0018,2022018,9985,20220018,239017,2,19UUA66255A017342,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0019,2022019,9985,20220019,239018,2,19UUA66255A017342,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0020,2022020,9985,20220020,239019,2,19UUA66255A029247,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0021,2022021,9985,20220021,239020,2,19UUA66257A041742,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0022,2022022,9985,20220022,239021,2,19UUA66257A041742,2022-11-01,2022-11-02
Automation_Tiff_ServiceJacket_0023,2022023,9985,20220023,239022,2,19UUA66258A028457,2022-11-01,2022-11-02
