Loc_Num,Corp_Copy_DT,Dms_Image_ID
9981,2022,999280,10/10/2022 23:24:28
9988,2022,995342,10/10/2022 23:24:29
9983,2022,997643,10/10/2022 23:24:30
9994,2022,995204,10/10/2022 23:34:34
9990,2022,991729,10/10/2022 23:34:34
9985,2022,993536,10/10/2022 23:34:34
9994,2022,995484,10/10/2022 23:34:36
9995,2022,997264,10/10/2022 23:34:37
9982,2022,998970,10/10/2022 23:34:38
9985,2022,999774,10/10/2022 23:34:40
9982,2022,997408,10/10/2022 23:34:39
9985,2022,993721,10/10/2022 23:34:40
9995,2022,991355,10/10/2022 23:34:42
9989,2022,996880,10/10/2022 23:34:43
9996,2022,998423,10/10/2022 23:34:44
9997,2022,995269,10/10/2022 23:34:44
9984,2022,999675,10/10/2022 23:34:46
9994,2022,997733,10/10/2022 23:34:46
9992,2022,994143,10/10/2022 23:34:48
9995,2022,993797,10/10/2022 23:34:48
9994,2022,999969,10/10/2022 23:34:49
9990,2022,994198,10/10/2022 23:34:50
9994,2022,994350,10/10/2022 23:34:51
9981,2022,993073,10/10/2022 23:34:52
9987,2022,996333,10/10/2022 23:34:54
9983,2022,998102,10/10/2022 23:34:54
9985,2022,997517,10/10/2022 23:34:54
9986,2022,991578,10/10/2022 23:34:56
9983,2022,996400,10/10/2022 23:34:57
9995,2022,998294,10/10/2022 23:34:58
9993,2022,994823,10/10/2022 23:34:59
9995,2022,992351,10/10/2022 23:35:00
9984,2022,996552,10/10/2022 23:35:00
9997,2022,992096,10/10/2022 23:35:02
9994,2022,994533,10/10/2022 23:35:03
9990,2022,991323,10/10/2022 23:35:04
9982,2022,992413,10/10/2022 23:35:04
9993,2022,996919,10/10/2022 23:35:06
9990,2022,999549,10/10/2022 23:35:06
9998,2022,999125,10/10/2022 23:35:08
9980,2022,995102,10/10/2022 23:35:08
9995,2022,991103,10/10/2022 23:35:09
9998,2022,999515,10/10/2022 23:35:10
9998,2022,997788,10/10/2022 23:35:11
9985,2022,998690,10/10/2022 23:35:12
9997,2022,991935,10/10/2022 23:35:14
9994,2022,998496,10/10/2022 23:35:14
9985,2022,993607,10/10/2022 23:35:14
9995,2022,994256,10/10/2022 23:35:16
9995,2022,994729,10/10/2022 23:35:17
9988,2022,992312,10/10/2022 23:35:18
9996,2022,995270,10/10/2022 23:35:19
9992,2022,993558,10/10/2022 23:35:20
9984,2022,995245,10/10/2022 23:35:20
9983,2022,991455,10/10/2022 23:35:22
9983,2022,997448,10/10/2022 23:35:23
9981,2022,996421,10/10/2022 23:35:24
9991,2022,996798,10/10/2022 23:35:24
9992,2022,992055,10/10/2022 23:35:26
9994,2022,996327,10/10/2022 23:35:26
9982,2022,998256,10/10/2022 23:35:28
9984,2022,998581,10/10/2022 23:35:28
9990,2022,991024,10/10/2022 23:35:29
9986,2022,998436,10/10/2022 23:35:30
9995,2022,996286,10/10/2022 23:35:31
9987,2022,992652,10/10/2022 23:35:32
9991,2022,997028,10/10/2022 23:35:34
9984,2022,999205,10/10/2022 23:35:34
9990,2022,997931,10/10/2022 23:35:34
9987,2022,991886,10/10/2022 23:35:36
9986,2022,998845,10/10/2022 23:35:37
9986,2022,993507,10/10/2022 23:35:38
9981,2022,999782,10/10/2022 23:35:39
9983,2022,992046,10/10/2022 23:35:40
9995,2022,994449,10/10/2022 23:35:40
9981,2022,999306,10/10/2022 23:35:42
9981,2022,996816,10/10/2022 23:35:43
9997,2022,994576,10/10/2022 23:35:44
9994,2022,995640,10/10/2022 23:35:44
9989,2022,994482,10/10/2022 23:35:46
9998,2022,992561,10/10/2022 23:35:46
9985,2022,998195,10/10/2022 23:35:48
9995,2022,994707,10/10/2022 23:35:48
9988,2022,995141,10/10/2022 23:35:49
9991,2022,998097,10/10/2022 23:35:50
9992,2022,993069,10/10/2022 23:35:51
9990,2022,992266,10/10/2022 23:35:52
9986,2022,993105,10/10/2022 23:35:54
9980,2022,996799,10/10/2022 23:35:54
9993,2022,999645,10/10/2022 23:35:54
9993,2022,998488,10/10/2022 23:35:56
9982,2022,998783,10/10/2022 23:35:57
9993,2022,993850,10/10/2022 23:35:58
9984,2022,999580,10/10/2022 23:35:59
9991,2022,999446,10/10/2022 23:36:00
9996,2022,992002,10/10/2022 23:36:00
9992,2022,995447,10/10/2022 23:36:02
9991,2022,994410,10/10/2022 23:36:03
9983,2022,995148,10/10/2022 23:36:04
9983,2022,997120,10/10/2022 23:36:04
9981,2022,994660,10/10/2022 23:36:06
9994,2022,996620,10/10/2022 23:36:06
9995,2022,991538,10/10/2022 23:36:08
9987,2022,996322,10/10/2022 23:36:08
9989,2022,996281,10/10/2022 23:36:09
9984,2022,999470,10/10/2022 23:36:10
9985,2022,995448,10/10/2022 23:36:11
9982,2022,995757,10/10/2022 23:36:12
9995,2022,995524,10/10/2022 23:36:14
9992,2022,992530,10/10/2022 23:36:14
9981,2022,997186,10/10/2022 23:36:14
9985,2022,996491,10/10/2022 23:36:16
9990,2022,996438,10/10/2022 23:36:17
9982,2022,995539,10/10/2022 23:36:18
9996,2022,991287,10/10/2022 23:36:19
9981,2022,996067,10/10/2022 23:36:20
9995,2022,996630,10/10/2022 23:36:20
9986,2022,992070,10/10/2022 23:36:22
9983,2022,996257,10/10/2022 23:36:23
9986,2022,993014,10/10/2022 23:36:24
9988,2022,995868,10/10/2022 23:36:24
9988,2022,991974,10/10/2022 23:36:26
9994,2022,994713,10/10/2022 23:36:26
9987,2022,993928,10/10/2022 23:36:28
9986,2022,995854,10/10/2022 23:36:28
9982,2022,992892,10/10/2022 23:36:29
9988,2022,991383,10/10/2022 23:36:30
9996,2022,998254,10/10/2022 23:36:31
9989,2022,997658,10/10/2022 23:36:32
9991,2022,999368,10/10/2022 23:36:34
9990,2022,996149,10/10/2022 23:36:34
9992,2022,993053,10/10/2022 23:36:34
9996,2022,999876,10/10/2022 23:36:36
9992,2022,993340,10/10/2022 23:36:37
9994,2022,996612,10/10/2022 23:36:38
9992,2022,995522,10/10/2022 23:36:39
9983,2022,996360,10/10/2022 23:36:40
9995,2022,994957,10/10/2022 23:36:40
9985,2022,999564,10/10/2022 23:36:42
9985,2022,995680,10/10/2022 23:36:43
9990,2022,995942,10/10/2022 23:36:44
9996,2022,996810,10/10/2022 23:36:44
9989,2022,999579,10/10/2022 23:36:46
9997,2022,999425,10/10/2022 23:36:46
9995,2022,991565,10/10/2022 23:36:48
9989,2022,995473,10/10/2022 23:36:48
9996,2022,991497,10/10/2022 23:36:49
9986,2022,997040,10/10/2022 23:36:50
9990,2022,992769,10/10/2022 23:36:51
9990,2022,995749,10/10/2022 23:36:52
9987,2022,995746,10/10/2022 23:36:54
9993,2022,998459,10/10/2022 23:36:54
9983,2022,992125,10/10/2022 23:36:54
9997,2022,998415,10/10/2022 23:36:56
9982,2022,993626,10/10/2022 23:36:57
9996,2022,997144,10/10/2022 23:36:58
9995,2022,995664,10/10/2022 23:36:59
9993,2022,993711,10/10/2022 23:37:00
9981,2022,997131,10/10/2022 23:37:00
9988,2022,998177,10/10/2022 23:37:02
9994,2022,992469,10/10/2022 23:37:03
9996,2022,995984,10/10/2022 23:37:04
9986,2022,994538,10/10/2022 23:37:04
9987,2022,995479,10/10/2022 23:37:06
9989,2022,999568,10/10/2022 23:37:06
9992,2022,992209,10/10/2022 23:37:08
9980,2022,999939,10/10/2022 23:37:08
9987,2022,999753,10/10/2022 23:37:09
9992,2022,996047,10/10/2022 23:37:10
9987,2022,997651,10/10/2022 23:37:11
9991,2022,996972,10/10/2022 23:37:12
9993,2022,999325,10/10/2022 23:37:14
9995,2022,996376,10/10/2022 23:37:14
9989,2022,992155,10/10/2022 23:37:14
9984,2022,994000,10/10/2022 23:37:16
9991,2022,993087,10/10/2022 23:37:17
9998,2022,996834,10/10/2022 23:37:18
9981,2022,999599,10/10/2022 23:37:19
9980,2022,996416,10/10/2022 23:37:20
9992,2022,997692,10/10/2022 23:37:20
9982,2022,996772,10/10/2022 23:37:22
9981,2022,994408,10/10/2022 23:37:23
9997,2022,999711,10/10/2022 23:37:24
9989,2022,991982,10/10/2022 23:37:24
9984,2022,999412,10/10/2022 23:37:26
